2025-09-07 at 13:42:48 | INFO | Бот запущен...
2025-09-07 at 15:47:15 | INFO | Бот остановлен...
2025-09-07 at 15:47:15 | INFO | Redis соединение закрыто
2025-09-07 at 15:47:27 | INFO | Бот запущен...
2025-09-07 at 15:47:27 | INFO | Redis подключен успешно
2025-09-07 at 15:47:28 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 15:47:54 | INFO | Создана новая комната 10_94646bbb пользователем 7022782558
2025-09-07 at 15:48:17 | INFO | Игрок 5254325840 присоединился к комнате 10_94646bbb
2025-09-07 at 17:10:28 | INFO | Бот остановлен...
2025-09-07 at 17:10:28 | INFO | Redis соединение закрыто
2025-09-07 at 17:10:35 | INFO | Бот запущен...
2025-09-07 at 17:10:35 | INFO | Redis подключен успешно
2025-09-07 at 17:10:58 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 17:11:26 | INFO | Бот запущен...
2025-09-07 at 17:11:26 | INFO | Redis подключен успешно
2025-09-07 at 17:11:31 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 17:12:44 | INFO | Создана новая комната 100_42f14f09 пользователем 5254325840
2025-09-07 at 17:13:10 | INFO | Игрок 7022782558 присоединился к комнате 100_42f14f09
2025-09-07 at 17:13:31 | INFO | [READY] tg_id=7022782558, room_id=100_42f14f09
2025-09-07 at 17:14:20 | INFO | [READY] tg_id=5254325840, room_id=100_42f14f09
2025-09-07 at 17:36:46 | INFO | Бот остановлен...
2025-09-07 at 17:36:46 | INFO | Redis соединение закрыто
2025-09-07 at 17:36:52 | INFO | Бот запущен...
2025-09-07 at 17:36:52 | INFO | Redis подключен успешно
2025-09-07 at 17:37:03 | INFO | Бот запущен...
2025-09-07 at 17:37:03 | INFO | Redis подключен успешно
2025-09-07 at 17:37:05 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 17:37:46 | INFO | Создана новая комната 1000_9c9f3772 пользователем 7022782558
2025-09-07 at 17:38:27 | INFO | Игрок 5254325840 присоединился к комнате 1000_9c9f3772
2025-09-07 at 17:42:28 | INFO | Бот остановлен...
2025-09-07 at 17:42:28 | INFO | Redis соединение закрыто
2025-09-07 at 17:42:40 | INFO | Бот запущен...
2025-09-07 at 17:42:40 | INFO | Redis подключен успешно
2025-09-07 at 17:42:44 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 17:43:24 | INFO | [READY] tg_id=7022782558, room_id=1000_9c9f3772
2025-09-07 at 17:44:58 | INFO | Бот остановлен...
2025-09-07 at 17:44:58 | INFO | Redis соединение закрыто
2025-09-07 at 17:45:10 | INFO | Бот запущен...
2025-09-07 at 17:45:10 | INFO | Redis подключен успешно
2025-09-07 at 17:45:11 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 17:45:17 | INFO | Бот остановлен...
2025-09-07 at 17:45:17 | INFO | Redis соединение закрыто
2025-09-07 at 17:45:29 | INFO | Бот запущен...
2025-09-07 at 17:45:29 | INFO | Redis подключен успешно
2025-09-07 at 17:45:31 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 17:45:37 | INFO | [READY] tg_id=7022782558, room_id=1000_9c9f3772
2025-09-07 at 17:46:21 | INFO | Бот остановлен...
2025-09-07 at 17:46:21 | INFO | Redis соединение закрыто
2025-09-07 at 17:46:34 | INFO | Бот запущен...
2025-09-07 at 17:46:34 | INFO | Redis подключен успешно
2025-09-07 at 17:46:35 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 17:46:40 | INFO | [READY] tg_id=7022782558, room_id=1000_9c9f3772
2025-09-07 at 17:47:00 | INFO | Бот остановлен...
2025-09-07 at 17:47:00 | INFO | Redis соединение закрыто
2025-09-07 at 17:47:12 | INFO | Бот запущен...
2025-09-07 at 17:47:12 | INFO | Redis подключен успешно
2025-09-07 at 17:47:36 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 17:47:40 | INFO | [READY] tg_id=7022782558, room_id=1000_9c9f3772
2025-09-07 at 17:51:03 | INFO | Бот остановлен...
2025-09-07 at 17:51:03 | INFO | Redis соединение закрыто
2025-09-07 at 17:51:10 | INFO | Бот запущен...
2025-09-07 at 17:51:10 | INFO | Redis подключен успешно
2025-09-07 at 17:51:12 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 17:51:26 | INFO | Бот запущен...
2025-09-07 at 17:51:26 | INFO | Redis подключен успешно
2025-09-07 at 17:51:29 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 17:51:39 | INFO | [READY] tg_id=7022782558, room_id=1000_9c9f3772
2025-09-07 at 17:51:56 | INFO | Бот остановлен...
2025-09-07 at 17:51:56 | INFO | Redis соединение закрыто
2025-09-07 at 17:52:07 | INFO | Бот запущен...
2025-09-07 at 17:52:07 | INFO | Redis подключен успешно
2025-09-07 at 17:52:09 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 17:52:41 | INFO | [READY] tg_id=7022782558, room_id=1000_9c9f3772
2025-09-07 at 18:00:45 | INFO | Бот остановлен...
2025-09-07 at 18:00:45 | INFO | Redis соединение закрыто
2025-09-07 at 18:00:58 | INFO | Бот запущен...
2025-09-07 at 18:00:58 | INFO | Redis подключен успешно
2025-09-07 at 18:00:59 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 18:01:15 | INFO | [READY] tg_id=7022782558, room_id=1000_9c9f3772
2025-09-07 at 18:01:43 | INFO | Бот остановлен...
2025-09-07 at 18:01:43 | INFO | Redis соединение закрыто
2025-09-07 at 18:01:55 | INFO | Бот запущен...
2025-09-07 at 18:01:55 | INFO | Redis подключен успешно
2025-09-07 at 18:01:56 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 18:02:30 | INFO | [READY] tg_id=7022782558, room_id=100_42f14f09
2025-09-07 at 18:02:48 | INFO | Бот остановлен...
2025-09-07 at 18:02:48 | INFO | Redis соединение закрыто
2025-09-07 at 18:03:00 | INFO | Бот запущен...
2025-09-07 at 18:03:00 | INFO | Redis подключен успешно
2025-09-07 at 18:03:01 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 18:03:30 | INFO | Создана новая комната 1000_c5461ca6 пользователем 5254325840
2025-09-07 at 18:03:52 | INFO | Игрок 7022782558 присоединился к комнате 1000_c5461ca6
2025-09-07 at 18:04:12 | INFO | [READY] tg_id=7022782558, room_id=1000_c5461ca6
2025-09-07 at 18:04:38 | INFO | [READY] tg_id=5254325840, room_id=1000_c5461ca6
2025-09-07 at 18:04:38 | INFO | [READY] Все игроки готовы, начинаем игру!
2025-09-07 at 18:08:39 | INFO | Бот остановлен...
2025-09-07 at 18:08:39 | INFO | Redis соединение закрыто
2025-09-07 at 18:08:51 | INFO | Бот запущен...
2025-09-07 at 18:08:51 | INFO | Redis подключен успешно
2025-09-07 at 18:08:52 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 18:09:09 | INFO | Создана новая комната 1000_a32e6e04 пользователем 7022782558
2025-09-07 at 18:09:15 | INFO | Игрок 5254325840 присоединился к комнате 1000_a32e6e04
2025-09-07 at 18:09:35 | INFO | [READY] tg_id=5254325840, room_id=1000_a32e6e04
2025-09-07 at 18:11:35 | INFO | Бот остановлен...
2025-09-07 at 18:11:35 | INFO | Redis соединение закрыто
2025-09-07 at 18:11:47 | INFO | Бот запущен...
2025-09-07 at 18:11:47 | INFO | Redis подключен успешно
2025-09-07 at 18:11:49 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 18:12:12 | INFO | [READY] tg_id=7022782558, room_id=1000_a32e6e04
2025-09-07 at 18:12:12 | INFO | [READY] Все игроки готовы, начинаем игру!
2025-09-07 at 18:12:12 | INFO | [READY] Козырь: ♦, осталось карт в колоде: 24
2025-09-07 at 18:15:52 | INFO | Бот остановлен...
2025-09-07 at 18:15:52 | INFO | Redis соединение закрыто
2025-09-08 at 21:15:06 | INFO | Бот запущен...
2025-09-08 at 21:15:10 | ERROR | Ошибка подключения к Redis: Error Multiple exceptions: [Errno 10061] Connect call failed ('::1', 6379, 0, 0), [Errno 10061] Connect call failed ('127.0.0.1', 6379) connecting to localhost:6379.
2025-09-08 at 21:15:29 | INFO | Бот запущен...
2025-09-08 at 21:15:33 | ERROR | Ошибка подключения к Redis: Error Multiple exceptions: [Errno 10061] Connect call failed ('::1', 6379, 0, 0), [Errno 10061] Connect call failed ('127.0.0.1', 6379) connecting to localhost:6379.
2025-09-08 at 21:18:03 | INFO | Бот запущен...
2025-09-08 at 21:18:03 | INFO | Redis подключен успешно
2025-09-08 at 21:18:04 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-08 at 21:22:48 | INFO | Создана новая комната 10_9e9288f4 пользователем 5254325840
2025-09-08 at 21:23:22 | INFO | Создана новая комната 100_05995738 пользователем 7022782558
2025-09-08 at 21:23:53 | INFO | Игрок 7022782558 присоединился к комнате 10_9e9288f4
2025-09-08 at 21:24:23 | INFO | [READY] tg_id=7022782558, room_id=10_9e9288f4
2025-09-08 at 21:24:38 | INFO | [READY] tg_id=5254325840, room_id=10_9e9288f4
2025-09-08 at 21:24:38 | INFO | [READY] Все игроки готовы, стартуем!
2025-09-08 at 21:24:38 | INFO | [READY] Козырь: ♠, осталось карт: 24
2025-09-08 at 21:24:41 | ERROR | [Centrifugo] Ошибка отправки: [Errno 11001] getaddrinfo failed
2025-09-08 at 21:24:44 | ERROR | [Centrifugo] Ошибка отправки: [Errno 11001] getaddrinfo failed
2025-09-08 at 21:24:46 | ERROR | [Centrifugo] Ошибка отправки: [Errno 11001] getaddrinfo failed
2025-09-08 at 21:49:20 | INFO | Бот остановлен...
2025-09-08 at 21:49:20 | INFO | Redis соединение закрыто
2025-09-08 at 21:49:33 | INFO | Бот запущен...
2025-09-08 at 21:49:33 | INFO | Redis подключен успешно
2025-09-08 at 21:49:36 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-08 at 21:50:12 | INFO | Создана новая комната 10_e11cb7f3 пользователем 7022782558
2025-09-08 at 21:50:25 | INFO | Игрок 5254325840 присоединился к комнате 10_e11cb7f3
2025-09-08 at 21:50:47 | INFO | [READY] tg_id=5254325840, room_id=10_e11cb7f3
2025-09-08 at 21:51:03 | INFO | [READY] tg_id=7022782558, room_id=10_e11cb7f3
2025-09-08 at 21:51:03 | INFO | [READY] Все игроки готовы, стартуем!
2025-09-08 at 21:51:03 | INFO | [READY] Козырь: ♦, осталось карт: 24
2025-09-08 at 21:51:03 | INFO | [Centrifugo] -> channel=user#7022782558, event=hand, status=True
2025-09-08 at 21:51:04 | INFO | [Centrifugo] -> channel=user#5254325840, event=hand, status=True
2025-09-08 at 21:51:04 | INFO | [Centrifugo] -> channel=room#10_e11cb7f3, event=game_start, status=True
2025-09-08 at 21:59:22 | INFO | Бот остановлен...
2025-09-08 at 21:59:22 | INFO | Redis соединение закрыто
2025-09-08 at 21:59:28 | INFO | Бот запущен...
2025-09-08 at 21:59:28 | INFO | Redis подключен успешно
2025-09-08 at 21:59:31 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-08 at 23:26:06 | INFO | Бот остановлен...
2025-09-08 at 23:26:06 | INFO | Redis соединение закрыто
